home,score,away,year
Islande ,2 - 1, Autriche,2016
Hongrie ,3 - 3, Portugal,2016
Suisse ,1 - 1 (ap), Pologne,2016
Pays de Galles ,1 - 0, Irlande du Nord,2016
Croatie ,0 - 1 (ap), Portugal,2016
France ,2 - 1, Irlande,2016
Allemagne ,3 - 0, Slovaquie,2016
Hongrie ,0 - 4, Belgique,2016
Italie ,2 - 0, Espagne,2016
Angleterre ,1 - 2, Islande,2016
Pologne ,1 - 1 (ap), Portugal,2016
Pays de Galles ,3 - 1, Belgique,2016
Allemagne ,1 - 1 (ap), Italie,2016
France ,5 - 2, Islande,2016
Portugal ,2 - 0, Pays de Galles,2016
Allemagne ,0 - 2, France,2016
Portugal ,1 - 0 a. p., France,2016
Turquie ,0 - 3, Italie,2020
Pays de Galles ,1 - 1, Suisse,2020
Turquie ,0 - 2, Pays de Galles,2020
Italie ,3 - 0, Suisse,2020
Italie ,1 - 0, Pays de Galles,2020
Suisse ,3 - 1, Turquie,2020
Danemark ,0 - 1, Finlande,2020
Belgique ,3 - 0, Russie,2020
Finlande ,0 - 1, Russie,2020
Danemark ,1 - 2, Belgique,2020
Russie ,1 - 4, Danemark,2020
Finlande ,0 - 2, Belgique,2020
Autriche ,3 - 1, Macédoine du Nord,2020
Pays-Bas ,3 - 2, Ukraine,2020
Ukraine ,2 - 1, Macédoine du Nord,2020
Pays-Bas ,2 - 0, Autriche,2020
Macédoine du Nord ,0 - 3, Pays-Bas,2020
Ukraine ,0 - 1, Autriche,2020
Angleterre ,1 - 0, Croatie,2020
Écosse ,0 - 2, Tchéquie,2020
Croatie ,1 - 1, Tchéquie,2020
Angleterre ,0 - 0, Écosse,2020
Tchéquie ,0 - 1, Angleterre,2020
Croatie ,3 - 1, Écosse,2020
Pologne ,1 - 2, Slovaquie,2020
Espagne ,0 - 0, Suède,2020
Suède ,1 - 0, Slovaquie,2020
Espagne ,1 - 1, Pologne,2020
Suède ,3 - 2, Pologne,2020
Slovaquie ,0 - 5, Espagne,2020
Hongrie ,0 - 3, Portugal,2020
France ,1 - 0, Allemagne,2020
Hongrie ,1 - 1, France,2020
Portugal ,2 - 4, Allemagne,2020
Portugal ,2 - 2, France,2020
Allemagne ,2 - 2, Hongrie,2020
Pays de Galles ,0 - 4, Danemark,2020
Italie ,2 - 1 a. p., Autriche,2020
Pays-Bas ,0 - 2, Tchéquie,2020
Belgique ,1 - 0, Portugal,2020
Croatie ,3 - 5 a. p., Espagne,2020
France ,3 - 3 a. p., Suisse,2020
Angleterre ,2 - 0, Allemagne,2020
Suède ,1 - 2 a. p., Ukraine,2020
Suisse ,1 - 1 a. p., Espagne,2020
Belgique ,1 - 2, Italie,2020
Tchéquie ,1 - 2, Danemark,2020
Ukraine ,0 - 4, Angleterre,2020
Italie ,1 - 1 a. p., Espagne,2020
Angleterre ,2 - 1 a. p., Danemark,2020
Italie ,1 - 1 a. p., Angleterre,2020
